,Holiday - B.1.177,Alpha - B.1.1.7,Delta - B.1.617.2,Omicron - BA.1,Omicron - BA.2,Omicron - BA.2.75,Omicron - BA.4&5,Omicron - BQ.1,Omicron - XBB
936,,,,,,0.037517140682926275,0.16522753733257772,0.47139643337064163,0.04852117180780624
937,,,,,,0.03945838482673013,0.15938313883609892,0.47724462820640734,0.04981775510157149
938,,,,,,0.041523245957236,0.15377155939154688,0.48292628476987515,0.05107788349232578
939,,,,,,0.04371377446768809,0.14838475574986731,0.4884305095395562,0.052298672050596906
940,,,,,,0.04603178077741634,0.143214360353898,0.49374613234342984,0.05347768494493721
941,,,,,,0.048478870521816986,0.1382517835338448,0.4988618512673551,0.05461296479620614
942,,,,,,0.05105647828072621,0.13348831132644234,0.50376636956551,0.05570305579044543
943,,,,,,0.05376589733374976,0.1289151977064368,0.5084485222486788,0.05674702034366419
944,,,,,,0.05660830324933513,0.12452375012143273,0.5128973907813145,0.057744449262713715
945,,,,,,0.059584769546478296,0.12030540736279753,0.5171024050186578,0.05869546548217386
946,,,,,,0.06269627417608252,0.11625180898024012,0.521053432124012,0.059600721634524234
947,,,,,,0.06594369611432807,0.11235485564699325,0.5247408527026955,0.06046139183786181
948,,,,,,0.06932780190599615,0.10860676009620833,0.5281556247628043,0.06127915819729424
949,,,,,,0.07284922250908134,0.10500008846801699,0.5312893363686011,0.06205619263118933
950,,,,,,0.07650842124776301,0.10152779211960467,0.5341342480018199,0.06279513472134113
951,,,,,,0.080305654060788,0.0981832301503638,0.5366833257065922,0.06349906631851354
952,,,,,,0.08424092352555067,0.09496018307358792,0.5389302660862425,0.06417148370985615
953,,,,,,0.08831392834101359,0.09185285821995665,0.5408695141630455,0.06481626813854291
954,,,,,,0.09252401006668745,0.08885588758375253,0.5424962750235394,0.06543765546837221
955,,,,,,0.0968700989460047,0.08596431891872151,0.5438065200658071,0.06604020577174197
956,,,,,,0.10135066060009289,0.08317360095688357,0.5447969885520519,0.0666287735654123
957,,,,,,0.1059636452719638,0.08047956366240773,0.5454651850558835,0.06720847936310292
958,,,,,,0.11070644114403108,0.07787839444491004,0.5458093732860941,0.06778468315644659
959,,,,,,0.11557583305391717,0.0753666112466079,0.5458285666659012,0.06836296035908163
960,,,,,,0.12056796770693678,0.07294103338763275,0.5455225159548411,0.06894908065191885
961,,,,,,0.12567832623745673,0.07059875100715901,0.5448916941155675,0.06954899011714133
962,,,,,,0.13090170471596885,0.06833709387818565,0.5439372785549984,0.07016879693696865
963,,,,,,0.13623220294214203,0.06615360030373288,0.542661130806162,0.07081476087898864
964,,,,,,0.14166322161434503,0.064045986724615,0.541065773667171,0.07149328667969712
965,,,,,,0.14718746773013883,0.062012118586776986,0.5391543657785144,0.07221092140559904
966,,,,,,0.15279696785620545,0.0600499829314875,0.5369306735989514,0.07297435578459499
967,,,,,,0.1584830887152705,0.05815766308667801,0.5343990407391007,0.07379042941886382
968,,,,,,0.16423656437718354,0.05633331575422558,0.5315643546286484,0.07466613980034253
969,,,,,,0.17004752921338967,0.05457515070752558,0.5284320105296844,0.07560865491723234
970,,,,,,0.1759055556829894,0.052881413237455176,0.5250078729659441,0.07662532926951826
971,,,,,,0.18179969596391332,0.05125036941411798,0.5212982347133414,0.07772372302690655
972,,,,,,0.1877185264257904,0.049680294166773616,0.5173097735890294,0.07891162402211194
973,,,,,,0.193650193959961,0.048169462125902784,0.5130495073822186,0.08019707227163053
974,,,,,,0.19958246323498655,0.046716141119602685,0.5085247473837617,0.08158838662893686
975,,,,,,0.20550276402930345,0.04531858817099108,0.503743051088505,0.0830941931454845
976,,,,,,0.21139823790286275,0.043975047804108,0.49871217475776,0.08472345466748266
977,,,,,,0.21725578360051487,0.042683752432439125,0.4934400266316927,0.08648550113719011
978,,,,,,0.22306210072912344,0.041442924575619974,0.4879346216649558,0.08839005996287597
979,,,,,,0.2288037314092513,0.04025078062640222,0.48220403871754974,0.09044728577339356
980,,,,,,0.23446709976869182,0.03910553587017132,0.47625638115784047,0.0926677887466667
981,,,,,,0.24003854931144544,0.038005410443599716,0.47009974182216635,0.09506266057326229
982,,,,,,0.24550437835957248,0.036948635906809205,0.46374217322120354,0.097643497021636
983,,,,,,0.2508508739195822,0.035933462095195885,0.4571916637849066,0.10042241583823852
984,,,,,,0.25606434446752796,0.0349581639133157,0.4504561207977971,0.1034120686414326
985,,,,,,0.26113115227221306,0.03402104773486853,0.44354336049851206,0.10662564522067441
986,,,,,,0.2660377459808202,0.03312045708111618,0.43646110560873286,0.11007686848768117
