,B.1.177,B.1.1.7 - Alpha,B.1.617.2 - Delta,BA.1 - Omicron,BA.2 - Omicron,BA.4&5 - Omicron
265,-0.05346683786336226,0.047824126063501504,,,,
266,-0.054409683923494434,0.04789947250291293,,,,
267,-0.05529923745047194,0.04784166380455468,,,,
268,-0.0561293004461465,0.04764627983173719,,,,
269,-0.05689397695829168,0.04731020133000663,,,,
270,-0.05758766788705705,0.04683160441788248,,,,
271,-0.05820505041129609,0.04620994092776942,,,,
272,-0.05874104281519443,0.04544590688232919,,,,
273,-0.0591907579686719,0.044541401491104526,,,,
274,-0.0595494493375206,0.04349947979765467,,,,
275,-0.05981245494191212,0.042324301078165316,,,,
276,-0.059975145392426654,0.04102107541609312,,,,
277,-0.06003288241216431,0.03959600992319645,,,,
278,-0.05998099414179725,0.038056255333842604,,,,
279,-0.059814772416244555,0.0364098529012975,,,,
280,-0.059529495684151,0.03466568112286428,,,,
